Name,Type,Breed,Color,Sex,Size,Date Of Birth,,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
FIGGY,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,02/04/1999,7244,K14-007602,CI02,A302337,02/04/2014,02/13/2014,9,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1
MISS BETTY,CAT,DOMESTIC LH,BLACK/WHITE,Spayed,SMALL,06/27/1999,7101,K14-009371,CS05,A308106,06/19/2014,07/09/2014,20,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
TEDDY,CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,SMALL,07/09/1999,7089,K14-009721,CS04,A308892,07/09/2014,07/18/2014,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
BLIND CAT,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,04/17/2000,6806,K14-008506,SMM,A305461,04/17/2014,04/24/2014,7,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNTREATABLE,UNTREATABLE,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
LIZZIE,CAT,DOMESTIC MH,BLACK,Spayed,SMALL,12/19/2000,6560,K15-016926,SMM,A329897,11/28/2015,12/19/2015,21,STRAY,OVER THE COUNTER,ADOPTION,FINDER,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
JEZEBEL,CAT,DOMESTIC SH,ORANGE/WHITE,Spayed,SMALL,12/20/2000,6559,K13-007099,CS04,A300821,12/20/2013,01/22/2014,33,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,AD NWSPAPR,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
POGO,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,02/17/2001,6500,K15-012793,CA03,A316811,02/17/2015,04/09/2015,51,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
MANDY,CAT,DOMESTIC LH,CALICO/WHITE,Spayed,SMALL,08/15/2001,6321,K14-010307,CS05,A310204,08/15/2014,01/10/2015,148,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
BOO BOO,CAT,MUNCHKIN SH,GRAY TABBY,Neutered,SMALL,12/09/2001,6205,K13-006917,CA02,A300300,12/05/2013,01/07/2014,33,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,WINDSOR,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
BLUE,CAT,SIAMESE/MIX,BLUE PT/WHITE,Neutered,SMALL,01/08/2002,6175,K15-012362,LOBBY,A315623,01/08/2015,02/06/2015,29,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1
